Prise en compte;Code INSEE Commune Nouvelle;Nom Commune Nouvelle Siège;Code INSEE Commune Déléguée (non actif);Nom Commune Déléguée;Adresse 2016 - Code INSEE;Adresse 2016 - L6 Code Postal;Adresse 2016 - L6 Libellé Acheminement;Adresse 2016 - Ligne 5 Commune déléguée;Adresse 2016 - Code INSEE associé à la L5;Adresse 2015 - Code INSEE;Adresse 2015 - L6 Code Postal;Adresse 2015 - Libellé Acheminement;Adresse 2015 - L5;Adresse 2015 - Code INSEE Associé à la L5
DÉCEMBRE 2016;01187;Haut Valromey;01176;Grand-Abergement (Le);01187;01260;HAUT VALROMEY;LE GRAND ABERGEMENT;01176;01176;01260;LE GRAND ABERGEMENT;;
DÉCEMBRE 2016;01095;Nivigne et Suran;01172;Germagnat;01095;01250;NIVIGNE ET SURAN;GERMAGNAT;01172;01172;01250;GERMAGNAT;;
DÉCEMBRE 2016;02439;Septvallons (Les);02348;Glennes;02439;02160;LES SEPTVALLONS;GLENNES;02348;02348;02160;GLENNES;;
FÉVRIER 2016;01286;Parves et Nattages;01286;Parves;01286;01300;PARVES ET NATTAGES;PARVES;;01286;01300;PARVES;;
DÉCEMBRE 2016;14027;Monts d'Aunay (Les);14128;Campandré-Valcongrain;14027;14260;LES MONTS D AUNAY;CAMPANDRE VALCONGRAIN;14128;14128;14260;CAMPANDRE VALCONGRAIN;;
FÉVRIER 2016;10003;Aix-Villemaur-Pâlis;10415;Villemaur-sur-Vanne;10003;10190;AIX VILLEMAUR PALIS;VILLEMAUR SUR VANNE;10415;10415;10190;VILLEMAUR SUR VANNE;;
DÉCEMBRE 2016;11080;Val de Lambronne;11171;Gueytes-et-Labastide;11080;11230;VAL DE LAMBRONNE;GUEYTES ET LABASTIDE;11171;11171;11230;GUEYTES ET LABASTIDE;;
DÉCEMBRE 2016;12021;Bas Ségala (Le);12245;Saint-Salvadou;12021;12200;LE BAS SEGALA;ST SALVADOU;12245;12245;12200;ST SALVADOU;;
FÉVRIER 2016;12177;Palmas d'Aveyron;12081;Coussergues;12177;12310;PALMAS D AVEYRON;COUSSERGUES;12081;12081;12310;COUSSERGUES;;
JUILLET 2016;08490;Vouziers;08443;Terron-sur-Aisne;08490;08400;VOUZIERS;TERRON SUR AISNE;08443;08443;08400;TERRON SUR AISNE;;
DÉCEMBRE 2016;09062;Bordes-Uchentein;09317;Uchentein;09062;09800;BORDES UCHENTEIN;UCHENTEIN;09317;09317;09800;UCHENTEIN;;
DÉCEMBRE 2016;14005;Valambray;14176;Conteville;14005;14540;VALAMBRAY;CONTEVILLE;14176;14176;14540;CONTEVILLE;;
DÉCEMBRE 2016;12223;Argences en Aubrac;12223;Sainte-Geneviève-sur-Argence;12223;12420;ARGENCES EN AUBRAC;STE GENEVIEVE SUR ARGENCE;;12223;12420;STE GENEVIEVE SUR ARGENCE;;
DÉCEMBRE 2016;11080;Val de Lambronne;11080;Caudeval;11080;11230;VAL DE LAMBRONNE;CAUDEVAL;;11080;11230;CAUDEVAL;;
FÉVRIER 2016;14174;Condé-en-Normandie;14585;Saint-Germain-du-Crioult;14174;14110;CONDE EN NORMANDIE;ST GERMAIN DU CRIOULT;14585;14585;14110;ST GERMAIN DU CRIOULT;;
DÉCEMBRE 2016;14281;Formigny La Bataille;14235;Ecrammeville;14281;14710;FORMIGNY LA BATAILLE;ECRAMMEVILLE;14235;14235;14710;ECRAMMEVILLE;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14704;Tourneur (Le);14061;14350;SOULEUVRE EN BOCAGE;LE TOURNEUR;14704;14704;14350;LE TOURNEUR;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14330;Heurtevent;14371;14140;LIVAROT PAYS D AUGE;HEURTEVENT;14330;14330;14140;HEURTEVENT;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14210;Croupte (La);14371;14140;LIVAROT PAYS D AUGE;LA CROUPTE;14210;14210;14140;LA CROUPTE;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14440;Montamy;14061;14260;SOULEUVRE EN BOCAGE;MONTAMY;14440;14440;14260;MONTAMY;;
DÉCEMBRE 2016;14172;Saline;14666;Sannerville;14172;14940;SALINE;SANNERVILLE;14666;14666;14940;SANNERVILLE;;
DÉCEMBRE 2016;14098;Thue et Mue;14109;Brouay;14098;14250;THUE ET MUE;BROUAY;14109;14109;14250;BROUAY;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14061;Bény-Bocage (Le);14061;14350;SOULEUVRE EN BOCAGE;LE BENY BOCAGE;;14061;14350;LE BENY BOCAGE;;
OCTOBRE 2017;14357;Terres de Druance;14357;Lassy;14357;14770;TERRES DE DRUANCE;LASSY;;14357;14770;LASSY;;
DÉCEMBRE 2016;02439;Septvallons (Les);02811;Villers-en-Prayères;02439;02160;LES SEPTVALLONS;VILLERS EN PRAYERES;02811;02811;02160;VILLERS EN PRAYERES;;
DÉCEMBRE 2016;03158;Haut-Bocage;03153;Louroux-Hodement;03158;03190;HAUT BOCAGE;LOUROUX HODEMENT;03153;03153;03190;LOUROUX HODEMENT;;
DÉCEMBRE 2016;05053;Garde-Colombe;05143;Saint-Genis;05053;05300;GARDE COLOMBE;ST GENIS;05143;05143;05300;ST GENIS;;
DÉCEMBRE 2016;02439;Septvallons (Les);02597;Perles;02439;02160;LES SEPTVALLONS;PERLES;02597;02597;02160;PERLES;;
OCTOBRE 2017;03168;Meaulne-Vitray;03318;Vitray;03168;03360;MEAULNE VITRAY;VITRAY;03318;03318;03360;VITRAY;;
JUIN 2017;05024;Valdoule;05150;Sainte-Marie;05024;05150;VALDOULE;STE MARIE;05150;05150;05150;STE MARIE;;
FÉVRIER 2016;08115;Chémery-Chéhéry;08115;Chémery-sur-Bar;08115;08450;CHEMERY CHEHERY;CHEMERY SUR BAR;;08115;08450;CHEMERY SUR BAR;;
OCTOBRE 2017;03168;Meaulne-Vitray;03168;Meaulne;03168;03360;MEAULNE VITRAY;MEAULNE;;03168;03360;MEAULNE;;
DÉCEMBRE 2016;08053;Bazeilles;08053;Bazeilles;08053;08140;BAZEILLES;;;08053;08140;BAZEILLES;;
FÉVRIER 2016;08198;Grandpré;08198;Grandpré;08198;08250;GRANDPRE;;;08198;08250;GRANDPRE;;
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14422;Le Mesnil-Mauger;14431;14270;MEZIDON VALLEE D AUGE;ST CRESPIN;14567;14422;14270;LE MESNIL MAUGER;ST CRESPIN;14567
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14422;Le Mesnil-Mauger;14431;14270;MEZIDON VALLEE D AUGE;ECAJEUL;14233;14422;14270;LE MESNIL MAUGER;ECAJEUL;14233
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14418;Mesnil-Durand (Le);14371;14140;LIVAROT PAYS D AUGE;LE MESNIL DURAND;14418;14418;14140;LE MESNIL DURAND;;
DÉCEMBRE 2016;14527;Belle Vie en Auge;14527;Biéville-Quétiéville;14527;14270;BELLE VIE EN AUGE;BIEVILLE QUETIEVILLE;;14527;14270;BIEVILLE QUETIEVILLE;;
DÉCEMBRE 2016;14410;Méry-Bissières-en-Auge;14410;Méry-Corbon;14410;14370;MERY BISSIERES EN AUGE;MERY CORBON;;14410;14370;MERY CORBON;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14371;Livarot;14371;14140;LIVAROT PAYS D AUGE;LIVAROT;;14371;14140;LIVAROT;;
DÉCEMBRE 2016;14456;Moult-Chicheboville;14456;Moult;14456;14370;MOULT CHICHEBOVILLE;MOULT;;14456;14370;MOULT;;
DÉCEMBRE 2016;19010;Argentat-sur-Dordogne;19183;Saint-Bazile-de-la-Roche;;;ARGENTAT SUR DORDOGNE;ST BAZILE DE LA ROCHE;;;;ST BAZILE DE LA ROCHE;;
DÉCEMBRE 2016;21195;Cormot-Vauchignon;21195;Cormot-le-Grand;;;CORMOT VAUCHIGNON;CORMOT LE GRAND;;;;CORMOT LE GRAND;;
DÉCEMBRE 2017;16300;Val de Bonnieure;16309;Sainte-Colombe;;;VAL DE BONNIEURE;STE COLOMBE;;;;STE COLOMBE;;
FÉVRIER 2016;19123;Malemort;19123;Malemort-sur-Corrèze;;;MALEMORT;MALEMORT SUR CORREZE;;;;MALEMORT SUR CORREZE;;
JANVIER 2016;17295;Réaux sur Trèfle;17238;Moings;;;REAUX SUR TREFLE;MOINGS;;;;MOINGS;;
DÉCEMBRE 2016;17277;Essouvert;17040;Benâte (La);;;ESSOUVERT;LA BENATE;;;;LA BENATE;;
DÉCEMBRE 2016;22046;Mené (Le);22102;Langourla;;;LE MENE;LANGOURLA;;;;LANGOURLA;;
DÉCEMBRE 2017;17160;Floirac;17160;Floirac;;;FLOIRAC;;;;;FLOIRAC;;
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14472;L'Oudon;14654;14170;ST PIERRE EN AUGE;ECOTS;14234;14472;14170;L OUDON;ECOTS;14234
FÉVRIER 2016;14576;Val-de-Vie;14583;Saint-Germain-de-Montgommery;14576;14140;VAL DE VIE;ST GERMAIN DE MONTGOMMERY;14583;14583;14140;ST GERMAIN DE MONTGOMMERY;;
FÉVRIER 2016;14576;Val-de-Vie;14153;Chapelle-Haute-Grue (La);14576;14140;VAL DE VIE;LA CHAPELLE HAUTE GRUE;14153;14153;14140;LA CHAPELLE HAUTE GRUE;;
FÉVRIER 2016;14570;Valorbiquet;14693;Tordouet;14570;14290;VALORBIQUET;TORDOUET;14693;14693;14290;TORDOUET;;
FÉVRIER 2016;14543;Rots;14543;Rots;14543;14980;ROTS;;;14543;14980;ROTS;;
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14472;L'Oudon;;;ST PIERRE EN AUGE;TOTES;;;;L OUDON;TOTES;
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14750;Vieux-Pont-en-Auge;;;ST PIERRE EN AUGE;VIEUX PONT EN AUGE;;;;VIEUX PONT EN AUGE;;
OCTOBRE 2017;14658;Noues de Sienne;14416;Le Mesnil-Caussois;;;NOUES DE SIENNE;LE MESNIL CAUSSOIS;;;;LE MESNIL CAUSSOIS;;
OCTOBRE 2017;14658;Noues de Sienne;14192;Courson;;;NOUES DE SIENNE;COURSON;;;;COURSON;;
OCTOBRE 2017;14654;Saint-Pierre-en-Auge *;14472;L'Oudon;;;;;;;;L OUDON;NOTRE DAME DE FRESNAY;
DÉCEMBRE 2017;16300;Val de Bonnieure;16296;Saint-Amant-de-Bonnieure;;;VAL DE BONNIEURE;ST AMANT DE BONNIEURE;;;;ST AMANT DE BONNIEURE;;
FÉVRIER 2016;16106;Confolens;16322;Saint-Germain-de-Confolens;;;CONFOLENS;ST GERMAIN DE CONFOLENS;;;;ST GERMAIN DE CONFOLENS;;
DÉCEMBRE 2016;15141;Neussargues en Pinatelle;15035;Chalinargues;;;NEUSSARGUES EN PINATELLE;CHALINARGUES;;;;CHALINARGUES;;
DÉCEMBRE 2016;15142;Neuvéglise-sur-Truyère;15145;Oradour;;;NEUVEGLISE SUR TRUYERE;ORADOUR;;;;ORADOUR;;
DÉCEMBRE 2016;15141;Neussargues en Pinatelle;15031;Celles;;;NEUSSARGUES EN PINATELLE;CELLES;;;;CELLES;;
DÉCEMBRE 2016;16175;Val des Vignes;16201;Mainfonds;;;VAL DES VIGNES;MAINFONDS;;;;MAINFONDS;;
DÉCEMBRE 2016;16204;Bellevigne;16129;Éraville;;;BELLEVIGNE;ERAVILLE;;;;ERAVILLE;;
FÉVRIER 2016;16224;Montmérac;16179;Lamérac;;;MONTMERAC;LAMERAC;;;;LAMERAC;;
FÉVRIER 2016;16148;Genac-Bignac;16043;Bignac;;;GENAC BIGNAC;BIGNAC;;;;BIGNAC;;
FÉVRIER 2016;16286;Rouillac;16262;Plaizac;;;ROUILLAC;PLAIZAC;;;;PLAIZAC;;
DÉCEMBRE 2016;14672;Val de Drôme;14596;Saint-Jean-des-Essartiers;;;VAL DE DROME;ST JEAN DES ESSARTIERS;;;;ST JEAN DES ESSARTIERS;;
OCTOBRE 2017;14658;Noues de Sienne;14611;Saint-Manvieu-Bocage;;;NOUES DE SIENNE;ST MANVIEU BOCAGE;;;;ST MANVIEU BOCAGE;;
DÉCEMBRE 2016;14672;Val de Drôme;14350;La Lande-sur-Drôme;;;VAL DE DROME;LA LANDE SUR DROME;;;;LA LANDE SUR DROME;;
OCTOBRE 2017;14658;Noues de Sienne;14417;Mesnil-Clinchamps;;;NOUES DE SIENNE;MESNIL CLINCHAMPS;;;;MESNIL CLINCHAMPS;;
FÉVRIER 2016;14762;Vire Normandie;14545;Roullours;;;VIRE NORMANDIE;ROULLOURS;;;;ROULLOURS;;
DÉCEMBRE 2016;15108;Val d'Arcomie;15195;Saint-Just;;;VAL D ARCOMIE;ST JUST;;;;ST JUST;;
FÉVRIER 2016;14726;Valdalliere;14442;Montchamp;;;VALDALLIERE;MONTCHAMP;;;;MONTCHAMP;;
FÉVRIER 2016;14726;Valdalliere;14746;Viessoix;;;VALDALLIERE;VIESSOIX;;;;VIESSOIX;;
FÉVRIER 2016;14762;Vire Normandie;14762;Vire;;;VIRE NORMANDIE;VIRE;;;;VIRE;;
FÉVRIER 2016;14689;Hom (Le);14324;Hamars;;;LE HOM;HAMARS;;;;HAMARS;;
FÉVRIER 2016;22084;Jugon-les-Lacs - Commune nouvelle;22084;Jugon-les-Lacs;;;JUGON LES LACS COMMUNE NOUVELLE;ST IGNEUC;;;;JUGON LES LACS;ST IGNEUC;
FÉVRIER 2016;22251;Pordic;22251;Pordic;;;PORDIC;LA VILLE LOUAIS;;;;PORDIC;LA VILLE LOUAIS;
MARS 2016;22055;Binic-Étables-sur-Mer;22055;Étables-sur-Mer;;;BINIC ETABLES SUR MER;ETABLES SUR MER;;;;ETABLES SUR MER;;
DÉCEMBRE 2016;22107;Bon Repos sur Blavet;22290;Saint-Gelven;;;BON REPOS SUR BLAVET;ST GELVEN;;;;ST GELVEN;;
FÉVRIER 2016;23149;Parsac-Rimondeix;23161;Rimondeix;;;PARSAC RIMONDEIX;RIMONDEIX;;;;RIMONDEIX;;
DÉCEMBRE 2016;22046;Mené (Le);22191;Plessala;;;LE MENE;PLESSALA;;;;PLESSALA;;
FÉVRIER 2016;22093;Lamballe;22151;Meslin;;;LAMBALLE;MESLIN;;;;MESLIN;;
DÉCEMBRE 2016;24253;Mareuil en Périgord;24099;Champeaux-et-la-Chapelle-Pommier;;;MAREUIL EN PERIGORD;CHAMPEAUX ET LA CHAPELLE POMMIER;;;;CHAMPEAUX ET LA CHAPELLE POMMIER;;
DÉCEMBRE 2016;24026;Bassillac et Auberoche;24369;Saint-Antoine-d'Auberoche;;;BASSILLAC ET AUBEROCHE;ST ANTOINE D AUBEROCHE;;;;ST ANTOINE D AUBEROCHE;;
DÉCEMBRE 2016;24253;Mareuil en Périgord;24503;Saint-Sulpice-de-Mareuil;;;MAREUIL EN PERIGORD;ST SULPICE DE MAREUIL;;;;ST SULPICE DE MAREUIL;;
FÉVRIER 2016;24064;Brantôme en Périgord;24064;Brantôme;;;BRANTOME EN PERIGORD;BRANTOME;;;;BRANTOME;;
DÉCEMBRE 2016;24312;Sanilhac;24258;Marsaneix;;;SANILHAC;MARSANEIX;;;;MARSANEIX;;
FÉVRIER 2016;24035;Pays de Belvès;24035;Belvès;;;PAYS DE BELVES;BELVES;;;;BELVES;;
DÉCEMBRE 2016;24312;Sanilhac;24065;Breuilh;;;SANILHAC;BREUILH;;;;BREUILH;;
FÉVRIER 2016;24053;Boulazac Isle Manoire *;24053;Boulazac;;;BOULAZAC ISLE MANOIRE;;;;;BOULAZAC;;
FÉVRIER 2016;27011;Amfreville-Saint-Amand;27506;Saint-Amand-des-Hautes-Terres;;;AMFREVILLE ST AMAND;ST AMAND DES HAUTES TERRES;;;;ST AMAND DES HAUTES TERRES;;
FÉVRIER 2016;27085;Flancourt-Crescy-en-Roumois;27223;Épreville-en-Roumois;;;FLANCOURT CRESCY EN ROUMOIS;EPREVILLE EN ROUMOIS;;;;EPREVILLE EN ROUMOIS;;
FÉVRIER 2016;27085;Flancourt-Crescy-en-Roumois;27244;Flancourt-Catelon;;;FLANCOURT CRESCY EN ROUMOIS;FLANCOURT CATELON;;;;FLANCOURT CATELON;;
FÉVRIER 2016;27011;Amfreville-Saint-Amand;27011;Amfreville-la-Campagne;;;AMFREVILLE ST AMAND;AMFREVILLE LA CAMPAGNE;;;;AMFREVILLE LA CAMPAGNE;;
DÉCEMBRE 2016;27089;Thénouville *;27089;Bosc-Renoult-en-Roumois;;;THENOUVILLE;BOSC RENOULT EN ROUMOIS;;;;BOSC RENOULT EN ROUMOIS;;
MARS 2016;27049;Mesnil-en-Ouche;27283;Gisay-la-Coudre;;;MESNIL EN OUCHE;GISAY LA COUDRE;;;;GISAY LA COUDRE;;
DÉCEMBRE 2017;95040;Avernes;95040;Avernes;;;AVERNES;;;;;AVERNES;;
DÉCEMBRE 2016;14011;Aurseulles;14011;Anctoville;14011;14240;AURSEULLES;SERMENTOT;14673;14011;14240;ANCTOVILLE;SERMENTOT;14673
DÉCEMBRE 2016;14027;Monts d'Aunay (Les);14508;Le Plessis-Grimoult;14027;14770;LES MONTS D AUNAY;LE PLESSIS GRIMOULT;14508;14508;14770;LE PLESSIS GRIMOULT;;
FÉVRIER 2016;14037;Malherbe-sur-Ajon;14553;Saint-Agnan-le-Malherbe;14037;14260;MALHERBE SUR AJON;ST AGNAN LE MALHERBE;14553;14553;14260;ST AGNAN LE MALHERBE;;
DÉCEMBRE 2016;14027;Monts d'Aunay (Les);14219;Danvou-la-Ferrière;14027;14770;LES MONTS D AUNAY;DANVOU LA FERRIERE;14219;14219;14770;DANVOU LA FERRIERE;;
DÉCEMBRE 2016;14098;Thue et Mue;14568;Sainte-Croix-Grand-Tonne;14098;14740;THUE ET MUE;STE CROIX GRAND TONNE;14568;14568;14740;STE CROIX GRAND TONNE;;
FÉVRIER 2016;14014;Colomby-Anguerny;14170;Colomby-sur-Thaon;14014;14610;COLOMBY ANGUERNY;COLOMBY SUR THAON;14170;14170;14610;COLOMBY SUR THAON;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14129;Campeaux;14061;14350;SOULEUVRE EN BOCAGE;CAMPEAUX;14129;14129;14350;CAMPEAUX;;
FÉVRIER 2016;14174;Condé-en-Normandie;14361;Lénault;14174;14770;CONDE EN NORMANDIE;LENAULT;14361;14361;14770;LENAULT;;
DÉCEMBRE 2016;14027;Monts d'Aunay (Les);14027;Aunay-sur-Odon;14027;14260;LES MONTS D AUNAY;AUNAY SUR ODON;;14027;14260;AUNAY SUR ODON;;
FÉVRIER 2016;14035;Balleroy-sur-Drôme;14035;Balleroy;14035;14490;BALLEROY SUR DROME;BALLEROY;;14035;14490;BALLEROY;;
DÉCEMBRE 2016;14527;Belle Vie en Auge;14527;Biéville-Quétiéville;14527;14270;BELLE VIE EN AUGE;BIEVILLE EN AUGE;14071;14527;14270;BIEVILLE QUETIEVILLE;BIEVILLE EN AUGE;14071
OCTOBRE 2017;14579;Seulline;14579;Seulline;14579;14310;SEULLINE;COULVAIN;14188;14579;14310;SEULLINE;COULVAIN;14188
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14387;Magny-le-Freule;14431;14270;MEZIDON VALLEE D AUGE;MAGNY LE FREULE;14387;14387;14270;MAGNY LE FREULE;;
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14208;Croissanville;14431;14370;MEZIDON VALLEE D AUGE;CROISSANVILLE;14208;14208;14370;CROISSANVILLE;;
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14189;Coupesarte;14431;14140;MEZIDON VALLEE D AUGE;COUPESARTE;14189;14189;14140;COUPESARTE;;
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14444;Monteille;14431;14270;MEZIDON VALLEE D AUGE;MONTEILLE;14444;14444;14270;MONTEILLE;;
DÉCEMBRE 2016;14410;Méry-Bissières-en-Auge;14075;Bissières;14410;14370;MERY BISSIERES EN AUGE;BISSIERES;14075;14075;14370;BISSIERES;;
OCTOBRE 2017;14591;Aure sur Mer;14591;Sainte-Honorine-des-Pertes;14591;14520;AURE SUR MER;STE HONORINE DES PERTES;;14591;14520;STE HONORINE DES PERTES;;
FÉVRIER 2016;14576;Val-de-Vie;14576;Sainte-Foy-de-Montgommery;14576;14140;VAL DE VIE;STE FOY DE MONTGOMMERY;;14576;14140;STE FOY DE MONTGOMMERY;;
FÉVRIER 2016;14570;Valorbiquet;14570;Saint-Cyr-du-Ronceray;14570;14290;VALORBIQUET;ST CYR DU RONCERAY;;14570;14290;ST CYR DU RONCERAY;;
DÉCEMBRE 2016;14005;Valambray;14268;Fierville-Bray;14005;14190;VALAMBRAY;BRAY LA CAMPAGNE;14094;14268;14190;FIERVILLE BRAY;BRAY LA CAMPAGNE;14094
DÉCEMBRE 2016;14011;Aurseulles;14011;Anctoville;14011;14240;AURSEULLES;ORBOIS;14479;14011;14240;ANCTOVILLE;ORBOIS;14479
FÉVRIER 2016;12224;Saint Geniez d'Olt et d'Aubrac;12014;Aurelle-Verlac;12224;12130;ST GENIEZ D OLT ET AUBRAC;AURELLE VERLAC;12014;12014;12130;AURELLE VERLAC;;
DÉCEMBRE 2016;12223;Argences en Aubrac;12304;Vitrac-en-Viadène;12223;12420;ARGENCES EN AUBRAC;VITRAC EN VIADENE;12304;12304;12420;VITRAC EN VIADENE;;
DÉCEMBRE 2016;12223;Argences en Aubrac;12112;Graissac;12223;12420;ARGENCES EN AUBRAC;GRAISSAC;12112;12112;12420;GRAISSAC;;
OCTOBRE 2017;12090;Druelle Balsac;12020;Balsac;12090;12510;DRUELLE BALSAC;BALSAC;12020;12020;12510;BALSAC;;
DÉCEMBRE 2016;14005;Valambray;14074;Billy;14005;14370;VALAMBRAY;BILLY;14074;14074;14370;BILLY;;
OCTOBRE 2017;12090;Druelle Balsac;12090;Druelle;12090;12000;DRUELLE BALSAC;AMPIAC;;12090;12000;DRUELLE;AMPIAC;
DÉCEMBRE 2016;14011;Aurseulles;14011;Anctoville;14011;14240;AURSEULLES;ANCTOVILLE;;14011;14240;ANCTOVILLE;;
DÉCEMBRE 2016;14005;Valambray;14005;Airan;14005;14370;VALAMBRAY;AIRAN;;14005;14370;AIRAN;;
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14472;L'Oudon;14654;14170;ST PIERRE EN AUGE;GRANDMESNIL;14314;14472;14170;L OUDON;GRANDMESNIL;14314
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14472;L'Oudon;14654;14170;ST PIERRE EN AUGE;AMMEVILLE;14010;14472;14170;L OUDON;AMMEVILLE;14010
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14331;Hiéville;14654;14170;ST PIERRE EN AUGE;HIEVILLE;14331;14331;14170;HIEVILLE;;
FÉVRIER 2016;14762;Vire Normandie;14388;Maisoncelles-la-Jourdan;;;VIRE NORMANDIE;MAISONCELLES LA JOURDAN;;;;MAISONCELLES LA JOURDAN;;
FÉVRIER 2016;14762;Vire Normandie;14717;Truttemer-le-Grand;;;VIRE NORMANDIE;TRUTTEMER LE GRAND;;;;TRUTTEMER LE GRAND;;
FÉVRIER 2016;14740;Vespière-Friardel (La);14292;Friardel;;;LA VESPIERE FRIARDEL;FRIARDEL;;;;FRIARDEL;;
FÉVRIER 2016;14726;Valdalliere;14156;Chênedollé;;;VALDALLIERE;CHENEDOLLE;;;;CHENEDOLLE;;
DÉCEMBRE 2016;15108;Val d'Arcomie;15108;Loubaresse;;;VAL D ARCOMIE;LOUBARESSE;;;;LOUBARESSE;;
DÉCEMBRE 2016;14672;Val de Drôme;14217;Dampierre;;;VAL DE DROME;DAMPIERRE;;;;DAMPIERRE;;
FÉVRIER 2016;14726;Valdalliere;14549;Rully;;;VALDALLIERE;RULLY;;;;RULLY;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14633;Saint-Martin-du-Mesnil-Oury;14371;14140;LIVAROT PAYS D AUGE;ST MARTIN DU MESNIL OURY;14633;14633;14140;ST MARTIN DU MESNIL OURY;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14518;Préaux-Saint-Sébastien;14371;14290;LIVAROT PAYS D AUGE;PREAUX ST SEBASTIEN;14518;14518;14290;PREAUX ST SEBASTIEN;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14634;Saint-Michel-de-Livet;14371;14140;LIVAROT PAYS D AUGE;ST MICHEL DE LIVET;14634;14634;14140;ST MICHEL DE LIVET;;
DÉCEMBRE 2016;14200;Creully sur Seulles;14757;Villiers-le-Sec;14200;14480;CREULLY SUR SEULLES;VILLIERS LE SEC;14757;14757;14480;VILLIERS LE SEC;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14696;Tortisambert;14371;14140;LIVAROT PAYS D AUGE;TORTISAMBERT;14696;14696;14140;TORTISAMBERT;;
DÉCEMBRE 2016;14281;Formigny La Bataille;14382;Louvières;14281;14710;FORMIGNY LA BATAILLE;LOUVIERES;14382;14382;14710;LOUVIERES;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14265;Fervaques;14371;14140;LIVAROT PAYS D AUGE;FERVAQUES;14265;14265;14140;FERVAQUES;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14429;Meulles;14371;14290;LIVAROT PAYS D AUGE;MEULLES;14429;14429;14290;MEULLES;;
DÉCEMBRE 2016;14342;Isigny-sur-Mer;14763;Vouilly;14342;14230;ISIGNY SUR MER;VOUILLY;14763;14763;14230;VOUILLY;;
DÉCEMBRE 2016;14281;Formigny La Bataille;14281;Formigny;14281;14710;FORMIGNY LA BATAILLE;FORMIGNY;;14281;14710;FORMIGNY;;
DÉCEMBRE 2016;15141;Neussargues en Pinatelle;15141;Neussargues-Moissac;;;NEUSSARGUES EN PINATELLE;NEUSSARGUES MOISSAC;;;;NEUSSARGUES MOISSAC;;
DÉCEMBRE 2016;16230;Montmoreau;16294;Saint-Amant-de-Montmoreau;;;MONTMOREAU;ST AMANT DE MONTMOREAU;;;;ST AMANT DE MONTMOREAU;;
OCTOBRE 2017;15138;Murat;15044;Chastel-sur-Murat;;;MURAT;CHASTEL SUR MURAT;;;;CHASTEL SUR MURAT;;
DÉCEMBRE 2016;16204;Bellevigne;16247;Nonaville;;;BELLEVIGNE;NONAVILLE;;;;NONAVILLE;;
DÉCEMBRE 2016;16023;Aunac-sur-Charente;16023;Aunac;;;AUNAC SUR CHARENTE;AUNAC;;;;AUNAC;;
FÉVRIER 2016;12076;Conques-en-Rouergue;12218;Saint-Cyprien-sur-Dourdou;12076;12320;CONQUES EN ROUERGUE;ST CYPRIEN SUR DOURDOU;12218;12218;12320;ST CYPRIEN SUR DOURDOU;;
DÉCEMBRE 2016;08053;Bazeilles;08371;Rubécourt-et-Lamécourt;08053;08140;BAZEILLES;RUBECOURT ET LAMECOURT;08371;08371;08140;RUBECOURT ET LAMECOURT;;
DÉCEMBRE 2016;08116;Bairon et ses environs;08007;Alleux (Les);08116;08400;BAIRON ET SES ENVIRONS;LES ALLEUX;08007;08007;08400;LES ALLEUX;;
DÉCEMBRE 2016;08116;Bairon et ses environs;08261;Louvergny;08116;08390;BAIRON ET SES ENVIRONS;LOUVERGNY;08261;08261;08390;LOUVERGNY;;
DÉCEMBRE 2016;05053;Garde-Colombe;05069;Lagrand;05053;05300;GARDE COLOMBE;LAGRAND;05069;05069;05300;LAGRAND;;
FÉVRIER 2016;11304;Quillan;11050;Brenac;11304;11500;QUILLAN;BRENAC;11050;11050;11500;BRENAC;;
JUILLET 2016;08490;Vouziers;08496;Vrizy;08490;08400;VOUZIERS;VRIZY;08493;08493;08400;VRIZY;;
