Prise en compte;Code INSEE Commune Nouvelle;Nom Commune Nouvelle Siège;Code INSEE Commune Déléguée (non actif);Nom Commune Déléguée;Adresse 2016 - Code INSEE;Adresse 2016 - L6 Code Postal;Adresse 2016 - L6 Libellé Acheminement;Adresse 2016 - Ligne 5 Commune déléguée;Adresse 2016 - Code INSEE associé à la L5;Adresse 2015 - Code INSEE;Adresse 2015 - L6 Code Postal;Adresse 2015 - Libellé Acheminement;Adresse 2015 - L5;Adresse 2015 - Code INSEE Associé à la L5
JUILLET 2016;52064;Bourmont-entre-Meuse-et-Mouzon;52064;Bourmont;;;BOURMONT ENTRE MEUSE ET MOUZON;BOURMONT;;;;BOURMONT;;
JUILLET 2016;52064;Bourmont-entre-Meuse-et-Mouzon;52351;Nijon;;;BOURMONT ENTRE MEUSE ET MOUZON;NIJON;;;;NIJON;;
MAI 2018;51612;Blancs-Coteaux;51411;Oger;;;BLANCS COTEAUX;OGER;;;;OGER;;
FÉVRIER 2016;52529;Villegusien-le-Lac;52529;Villegusien-le-Lac;;;VILLEGUSIEN LE LAC;;;;;VILLEGUSIEN LE LAC;;
FÉVRIER 2016;08115;Chémery-Chéhéry;08115;Chémery-sur-Bar;08115;08450;CHEMERY CHEHERY;CONNAGE;08129;08115;08450;CHEMERY SUR BAR;CONNAGE;08129
JANVIER 2016;05118;Val Buëch-Méouge;05034;Châteauneuf-de-Chabre;05118;05300;VAL BUECH MEOUGE;CHATEAUNEUF DE CHABRE;05034;05034;05300;CHATEAUNEUF DE CHABRE;;
FÉVRIER 2016;12076;Conques-en-Rouergue;12114;Grand-Vabre;12076;12320;CONQUES EN ROUERGUE;GRAND VABRE;12114;12114;12320;GRAND VABRE;;
DÉCEMBRE 2016;12021;Bas Ségala (Le);12285;Vabre-Tizac;12021;12240;LE BAS SEGALA;VABRE TIZAC;12285;12285;12240;VABRE TIZAC;;
MAI 2018;05039;Aubessagne;05043;Les Costes;05039;05500;AUBESSAGNE;LES COSTES;05043;05043;05500;LES COSTES;;
DÉCEMBRE 2016;09062;Bordes-Uchentein;09062;Les Bordes-sur-Lez;09062;09800;BORDES UCHENTEIN;LES BORDES SUR LEZ;;09062;09800;LES BORDES SUR LEZ;;
FÉVRIER 2016;10003;Aix-Villemaur-Pâlis;10003;Aix-en-Othe;10003;10160;AIX VILLEMAUR PALIS;AIX EN OTHE;;10003;10160;AIX EN OTHE;;
