ID_SITE;NB_CLI_AB_NA;MNT_PTF_AB_NA;COD_DGR;LIB_DGR;COD_DR;LIB_DR
exp-cenon;254;181644;6;D.G.R./SUD OUEST;62;D.R./BORDEAUX;
exp-lorris;157;297946;2;D.G.R./NORD;23;D.R./BLOIS;
exp-pontivy;169;166599;1;D.G.R./OUEST;12;D.R./NANTES;
exp-soustons;353;358303;6;D.G.R./SUD OUEST;67;D.R./PAU;
exp-bergerac;159;155434;6;D.G.R./SUD OUEST;62;D.R./BORDEAUX;
exp-marmande;301;238959;6;D.G.R./SUD OUEST;62;D.R./BORDEAUX;
exp-lourdes;98;131187;6;D.G.R./SUD OUEST;67;D.R./PAU;
exp-mimizan;392;407958;6;D.G.R./SUD OUEST;62;D.R./BORDEAUX;
exp-reze;104;140712;1;D.G.R./OUEST;12;D.R./NANTES;
exp-guermantes;95;95085;2;D.G.R./NORD;26;D.R./PARIS;
exp-dax;414;442202;6;D.G.R./SUD OUEST;67;D.R./PAU;
exp-saint-jean-de-luz;146;156833;6;D.G.R./SUD OUEST;67;D.R./PAU;
exp-chalamont;127;86796;4;D.G.R./CENTRE EST;44;D.R./LYON;
exp-nimes;583;1084754;5;D.G.R./SUD EST;55;D.R./ARLES;
exp-chambery;398;485283;4;D.G.R./CENTRE EST;43;D.R./ANNECY;
exp-annecy;485;701341;4;D.G.R./CENTRE EST;43;D.R./ANNECY;
exp-bourgoin-jallieu;378;566596;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-le-grau-du-roi;175;280421;5;D.G.R./SUD EST;55;D.R./ARLES;
exp-montpellier;839;729053;5;D.G.R./SUD EST;54;D.R./MONTPELLIER;
exp-abbeville;489;1090163;2;D.G.R./NORD;21;D.R./AMIENS;
exp-billom;38;75793;4;D.G.R./CENTRE EST;42;D.R./CLERMONT FERRAND;
exp-limoges;499;389836;6;D.G.R./SUD OUEST;65;D.R./LIMOGES;
exp-grasse;241;165702;5;D.G.R./SUD EST;51;D.R./NICE;
exp-vesoul;222;181411;3;D.G.R./EST;31;D.R./DIJON;
exp-montesson;227;418616;2;D.G.R./NORD;26;D.R./PARIS;
exp-montelimar;483;269630;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-toulon;341;322004;5;D.G.R./SUD EST;51;D.R./NICE;
exp-dreux;197;307096;2;D.G.R./NORD;23;D.R./BLOIS;
exp-brest;997;1079526;1;D.G.R./OUEST;14;D.R./RENNES;
exp-dijon;454;333717;3;D.G.R./EST;31;D.R./DIJON;
exp-la-defense;352;980920;2;D.G.R./NORD;26;D.R./PARIS;
exp-voiron;199;321930;4;D.G.R./CENTRE EST;43;D.R./ANNECY;
exp-yssingeaux;132;203158;4;D.G.R./CENTRE EST;42;D.R./CLERMONT FERRAND;
exp-carcassonne;240;264355;5;D.G.R./SUD EST;54;D.R./MONTPELLIER;
exp-joinville;176;212111;3;D.G.R./EST;32;D.R./NANCY;
exp-chartres;690;1461620;2;D.G.R./NORD;23;D.R./BLOIS;
exp-saint-die;177;126100;3;D.G.R./EST;32;D.R./NANCY;
exp-pezenas;774;944969;5;D.G.R./SUD EST;54;D.R./MONTPELLIER;
exp-romorantin-lanthenay;179;265116;2;D.G.R./NORD;23;D.R./BLOIS;
exp-rodez;565;350945;5;D.G.R./SUD EST;54;D.R./MONTPELLIER;
exp-lannemezan;123;144454;6;D.G.R./SUD OUEST;67;D.R./PAU;
exp-argenton-sur-creuse;154;126573;6;D.G.R./SUD OUEST;65;D.R./LIMOGES;
exp-pont-audemer;313;323721;2;D.G.R./NORD;25;D.R./ROUEN;
exp-cassis;64;102347;5;D.G.R./SUD EST;53;D.R./MARSEILLE;
exp-yvetot;177;220569;2;D.G.R./NORD;25;D.R./ROUEN;
exp-beaumont-sur-oise;248;256503;2;D.G.R./NORD;26;D.R./PARIS;
exp-puilboreau;155;157550;1;D.G.R./OUEST;13;D.R./POITIERS;
exp-l-aiguillon-sur-mer;320;287699;1;D.G.R./OUEST;12;D.R./NANTES;
exp-egletons;72;86043;6;D.G.R./SUD OUEST;65;D.R./LIMOGES;
exp-uzerche;147;119672;6;D.G.R./SUD OUEST;65;D.R./LIMOGES;
exp-pont-de-roide;190;43622;3;D.G.R./EST;31;D.R./DIJON;
exp-vieux-thann;67;84296;3;D.G.R./EST;31;D.R./DIJON;
exp-clermont-l-herault;146;68315;5;D.G.R./SUD EST;54;D.R./MONTPELLIER;
exp-les-herbiers;212;359652;1;D.G.R./OUEST;12;D.R./NANTES;
exp-metz;79;120831;3;D.G.R./EST;32;D.R./NANCY;
